file,gloss,cat,occluded,signer,duration
num_ELEVEN_0003,10,0,0,DRIVE,2.2666666666666666
num_ELEVEN_0004,10,0,0,DRIVE,2.0
num_ELEVEN_0005,10,0,0,DRIVE,1.0
num_ELEVEN_0006,10,0,0,DRIVE,2.0
num_ELEVEN_0007,10,0,0,DRIVE,2.0
num_ELEVEN_0008,10,0,0,DRIVE,2.0
num_ELEVEN_0009,10,0,0,DRIVE,1.0
num_ELEVEN_0010,10,0,0,DRIVE,1.0
num_ELEVEN_0011,10,0,0,DRIVE,3.0
num_ELEVEN_0012,10,0,0,DRIVE,1.0
num_ELEVEN_0013,10,0,0,DRIVE,2.0
num_ELEVEN_0014,10,0,0,DRIVE,2.0
num_ELEVEN_0015,10,0,0,DRIVE,1.5666666666666667
num_TWELVE_0003,11,0,0,DRIVE,3.0
num_TWELVE_0004,11,0,0,DRIVE,1.0
num_TWELVE_0005,11,0,0,DRIVE,2.0
num_TWELVE_0006,11,0,0,DRIVE,3.0
num_TWELVE_0007,11,0,0,DRIVE,1.0
num_TWELVE_0008,11,0,0,DRIVE,1.0666666666666667
num_TWELVE_0009,11,0,0,DRIVE,2.0
num_TWELVE_0010,11,0,0,DRIVE,1.5666666666666667
num_TWELVE_0011,11,0,0,DRIVE,2.0
num_TWELVE_0012,11,0,0,DRIVE,1.0
num_TWELVE_0013,11,0,0,DRIVE,2.0
num_TWELVE_0014,11,0,0,DRIVE,2.0
num_TWELVE_0015,11,0,0,DRIVE,1.0
num_THIRTEEN_0003,12,0,0,DRIVE,3.0
num_THIRTEEN_0004,12,0,0,DRIVE,2.0
num_THIRTEEN_0005,12,0,0,DRIVE,3.0
num_THIRTEEN_0006,12,0,0,DRIVE,2.0
num_THIRTEEN_0007,12,0,0,DRIVE,1.0
num_THIRTEEN_0008,12,0,0,DRIVE,1.0
num_THIRTEEN_0009,12,0,0,DRIVE,1.0
num_THIRTEEN_0010,12,0,0,DRIVE,3.0
num_THIRTEEN_0011,12,0,0,DRIVE,1.5666666666666667
num_THIRTEEN_0012,12,0,0,DRIVE,1.0
num_THIRTEEN_0013,12,0,0,DRIVE,2.0
num_THIRTEEN_0014,12,0,0,DRIVE,2.0
num_FOURTEEN_0003,13,0,0,DRIVE,2.0
num_FOURTEEN_0004,13,0,0,DRIVE,1.0666666666666667
num_FOURTEEN_0005,13,0,0,DRIVE,1.0
num_FOURTEEN_0006,13,0,0,DRIVE,1.0
num_FOURTEEN_0007,13,0,0,DRIVE,2.0
num_FOURTEEN_0008,13,0,0,DRIVE,3.0
num_FOURTEEN_0009,13,0,0,DRIVE,2.0
num_FOURTEEN_0010,13,0,0,DRIVE,2.0
num_FOURTEEN_0011,13,0,0,DRIVE,2.0
num_FOURTEEN_0012,13,0,0,DRIVE,1.5666666666666667
num_FOURTEEN_0013,13,0,0,DRIVE,1.0
num_FOURTEEN_0014,13,0,0,DRIVE,2.0
num_FOURTEEN_0015,13,0,0,DRIVE,2.0
num_FOURTEEN_0016,13,0,0,DRIVE,2.0
num_FIFTEEN_0003,14,0,0,DRIVE,2.0
num_FIFTEEN_0004,14,0,0,DRIVE,2.0
num_FIFTEEN_0005,14,0,0,DRIVE,2.0
num_FIFTEEN_0006,14,0,0,DRIVE,2.0
num_FIFTEEN_0007,14,0,0,DRIVE,2.0
num_FIFTEEN_0008,14,0,0,DRIVE,2.0
num_FIFTEEN_0009,14,0,0,DRIVE,1.0
num_FIFTEEN_0010,14,0,0,DRIVE,2.0
num_FIFTEEN_0011,14,0,0,DRIVE,1.9666666666666666
num_FIFTEEN_0012,14,0,0,DRIVE,1.0
num_FIFTEEN_0013,14,0,0,DRIVE,1.0
num_FIFTEEN_0014,14,0,0,DRIVE,2.066666666666667
num_FIFTEEN_0015,14,0,0,DRIVE,1.5666666666666667
num_SIXTEEN_0003,15,0,0,DRIVE,2.0
num_SIXTEEN_0004,15,0,0,DRIVE,2.0
num_SIXTEEN_0005,15,0,0,DRIVE,1.0
num_SIXTEEN_0006,15,0,0,DRIVE,2.0
num_SIXTEEN_0007,15,0,0,DRIVE,2.0
num_SIXTEEN_0008,15,0,0,DRIVE,1.5666666666666667
num_SIXTEEN_0009,15,0,0,DRIVE,2.0
num_SIXTEEN_0010,15,0,0,DRIVE,1.0
num_SIXTEEN_0011,15,0,0,DRIVE,2.0
num_SIXTEEN_0012,15,0,0,DRIVE,1.0
num_SIXTEEN_0013,15,0,0,DRIVE,3.0
num_SIXTEEN_0014,15,0,0,DRIVE,1.0
num_SIXTEEN_0015,15,0,0,DRIVE,1.0
num_SEVENTEEN_0003,16,0,0,DRIVE,1.0
num_SEVENTEEN_0004,16,0,0,DRIVE,2.0
num_SEVENTEEN_0005,16,0,0,DRIVE,2.0
num_SEVENTEEN_0006,16,0,0,DRIVE,1.0
num_SEVENTEEN_0007,16,0,0,DRIVE,1.0
num_SEVENTEEN_0008,16,0,0,DRIVE,1.0
num_SEVENTEEN_0009,16,0,0,DRIVE,3.0
num_SEVENTEEN_0010,16,0,0,DRIVE,2.0
num_SEVENTEEN_0011,16,0,0,DRIVE,2.0
num_SEVENTEEN_0012,16,0,0,DRIVE,2.0
num_SEVENTEEN_0013,16,0,0,DRIVE,1.6
num_SEVENTEEN_0014,16,0,0,DRIVE,1.0
num_SEVENTEEN_0015,16,0,0,DRIVE,2.0
num_EIGHTEEN_0003,17,0,0,DRIVE,1.0
num_EIGHTEEN_0004,17,0,0,DRIVE,2.0
num_EIGHTEEN_0005,17,0,0,DRIVE,3.0
num_EIGHTEEN_0006,17,0,0,DRIVE,2.0
num_EIGHTEEN_0007,17,0,0,DRIVE,1.0
num_EIGHTEEN_0008,17,0,0,DRIVE,1.6
num_EIGHTEEN_0009,17,0,0,DRIVE,1.0
num_EIGHTEEN_0010,17,0,0,DRIVE,3.0
num_EIGHTEEN_0011,17,0,0,DRIVE,2.0
num_EIGHTEEN_0012,17,0,0,DRIVE,1.1
num_EIGHTEEN_0013,17,0,0,DRIVE,3.0
num_EIGHTEEN_0014,17,0,0,DRIVE,2.0
num_EIGHTEEN_0015,17,0,0,DRIVE,2.0
num_NINETEEN_0003,18,0,0,DRIVE,1.9666666666666666
num_NINETEEN_0004,18,0,0,DRIVE,2.0
num_NINETEEN_0005,18,0,0,DRIVE,2.0
num_NINETEEN_0006,18,0,0,DRIVE,2.0
num_NINETEEN_0007,18,0,0,DRIVE,1.0
num_NINETEEN_0008,18,0,0,DRIVE,2.0
num_NINETEEN_0009,18,0,0,DRIVE,3.0
num_NINETEEN_0010,18,0,0,DRIVE,1.0
num_NINETEEN_0011,18,0,0,DRIVE,2.0
num_NINETEEN_0012,18,0,0,DRIVE,1.1333333333333333
num_NINETEEN_0013,18,0,0,DRIVE,1.0
num_NINETEEN_0014,18,0,0,DRIVE,2.0
num_NINETEEN_0015,18,0,0,DRIVE,2.0
num_TWENTY_0004,19,0,0,DRIVE,3.0
num_TWENTY_0005,19,0,0,DRIVE,2.6333333333333333
num_TWENTY_0006,19,0,0,DRIVE,3.0
num_TWENTY_0007,19,0,0,DRIVE,3.0
num_TWENTY_0008,19,0,0,DRIVE,2.0
num_TWENTY_0009,19,0,0,DRIVE,3.0
num_TWENTY_0010,19,0,0,DRIVE,1.6
num_TWENTY_0011,19,0,0,DRIVE,2.0
num_TWENTY_0012,19,0,0,DRIVE,1.0
num_TWENTY_0013,19,0,0,DRIVE,1.9666666666666666
num_TWENTY_0014,19,0,0,DRIVE,3.0
num_TWENTY_0015,19,0,0,DRIVE,2.0
num_TWENTY_0016,19,0,0,DRIVE,3.0
num_TWENTY_0017,19,0,0,DRIVE,3.0
